CODICE_ART,CODICE_ALT,DESCRIZION,UM,CODICE_CAT,CODICE_FOR,CODICE_MAR,GIACEZ_INI,ALIQ_IVA,LISTINO_1,RIC_1,LISTINO_2,RIC_2,LISTINO_3,RIC_3,DATA_ULT_C,DATA_ULT_S,ESISTENZA,ESI_COLLI,S_SCORTA,RICA,PRZ_ACQ,PRZ_AGG,PRZ_MED,NOTE,COLORE,REPARTO,PESO,PESO_MED,TARA,PZXCT,PROVV,FOTO,DATA_INS,BILANCIA,PEN_FORN,ULT_FORN,TOUCH,Gruppo,Sottogruppo,sco_max,NCOL_GIRIXLS,NCOL_NTVXLS,cat_level_4,cat_level_5,data_scad,TP_taglia,cod_compatib,no_sconto,ult_sconto,flag_var,punti_reg,no_provv,cod_promoz,ric_acq0,Listino_4,Listino_5,cod_ei
8032551291349,8032551291349,BODY M/L COTONE STAMPATO ART. 134,PZ,INFANZIA,INTIMO CUORE,INTIMO CUORE,0.00,22.0,4.9900,119.90,4.9900,119.90,,,04/05/2022,04/05/2022,0.000,0,4.000,,1.8600,0.0000,.34028E+39,,,1,,,,,0.00,,08/09/2010,,,1,,BODY,NEONATI,,,,COTONE,FAMILY,,,,,0.00,F,,,,,,,
8032551290045,8032551290045,BODY M/L COTONE BCO ART. 004,PZ,INFANZIA,INTIMO CUORE,INTIMO CUORE,128.00,22.0,4.9900,119.90,4.9900,119.90,,,24/04/2023,25/06/2025,128.000,0,4.000,,1.8600,0.0000,4.9000,,,1,,,,,0.00,,08/09/2010,,,1,,BODY,NEONATI,,,,COTONE,FAMILY,,,,,0.00,F,,,,,,,
8032551290151,8032551290151,BODY S/L ART. 015 COTONE STAMPATO,PZ,INFANZIA,INTIMO CUORE,INTIMO CUORE,12.00,22.0,3.4001,116.04,3.4001,116.04,0.0000,-100.0,24/10/2018,10/11/2022,12.000,-8002,4.000,,1.2900,0.0000,-0.2920,,,1,,,,,0.00,,04/05/2017,,,1,,BODY,NEONATI,,,,COTONE,FAMILY,,,,,0.00,F,,,,,,,
8032551290038,8032551290038,BODY S/L ART. 003 BCO COTONE,PZ,INFANZIA,INTIMO CUORE,INTIMO CUORE,109.00,22.0,3.4000,116.04,3.4000,116.04,,,12/06/2018,10/11/2022,109.000,-48012,4.000,,1.2900,0.0000,3.3995,,,1,,,,,0.00,,25/02/2011,,,1,,BODY,NEONATI,,,,COTONE,FAMILY,,,,,0.00,F,,,,,,,
8032551290298,8032551290298,BODY BABY M/M STAMP ART.029,PZ,INFANZIA,INTIMO CUORE,INTIMO CUORE,7.00,22.0,4.5000,115.70,4.5000,115.70,,,29/01/2021,06/05/2020,7.000,0,4.000,,1.7100,0.0000,4.5000,,,1,,,,,0.00,,08/09/2010,,,1,,BODY,NEONATI,,,,,FAMILY,,,,,0.00,F,,,,,,,
8032551290021,8032551290021,BODY M/M COTONE ART. 02 BCO,PZ,INFANZIA,INTIMO CUORE,INTIMO CUORE,0.00,22.0,4.5000,115.70,4.5000,115.70,,,25/11/2022,10/05/2022,0.000,0,4.000,,1.7100,0.0000,.34028E+39,,,1,,,,,0.00,,08/09/2010,,,1,,BODY,NEONATI,,,,COTONE,FAMILY,,,,,0.00,F,,,,,,,
89203835,89203835,FEDERE DAMASCO,PZ,BIANCHERIA LETTO,SCONOSCIUTO,SCONOSCIUTO,0.00,22.0,1.5000,115.70,1.5000,115.70,0.0000,-100.0,25/06/2024,25/06/2024,0.000,0,1.500,,0.5700,0.0000,1.5000,,,1,,,,,0.00,,23/02/2010,,1,100,T,FEDERE,,,,,DAMASCO,FAMILY,,,,,0.00,F,,,,,,,
8029377038579,8029377038579,BODY FRAMES ART. B3857,PZ,CORSETTERIA,INTIMODRESS,FRAMES,0.00,22.0,5.0000,115.70,5.0000,115.70,0.0000,-100.0,14/12/2012,04/02/2020,0.000,0,6.000,,1.9000,0.0000,.34028E+39,,,1,,,,,0.00,,23/02/2011,,,1,,BODY,DONNA,,,,,FAMILY,,,,,0.00,F,,,,,,,
8029377038609,8029377038609,BODY FRAMES ART. B3860,PZ,CORSETTERIA,INTIMODRESS,FRAMES,0.00,22.0,5.0000,115.70,5.0000,115.70,,,27/04/2005,27/09/2019,0.000,0,6.000,,1.9000,,,,,1,,,,,0.00,,06/08/2014,,,,,BODY,DONNA,,,,,FAMILY,,,,,,F,,,,,,,
88028965,88028965,CP SPUGNA 3.00,CP,BIANCHERIA BAGNO,SCONOSCIUTO,SCONOSCIUTO,0.00,22.0,3.0000,115.70,3.0000,115.70,0.0000,-100.0,26/09/2018,01/04/2019,0.000,0,10.000,,1.1400,0.0000,.34028E+39,,,1,,,,,0.00,,29/04/2010,,,1,,COPPIA ASCIUGAMANI,,,,,SPUGNA,FAMILY,,,,,0.00,F,,,,,,,
